Quantity,Item Code,Description,Pack Size,Price Each,Amount,Price per Product,Store Price,Online Price
10,04SW09B,SWEDE MATJES FILL RED PAIL,2.2KG PC,14.00,140.00,14,22.09,22.59
40,04SW12F,SWEDE.SALT HERR,2.2KG BLUE PAIL PC,13.65,546.00,13.65,21.49,21.99
4,04SW15B,KLAD. MATJES HERR. TIDBITS,6/20OZ JAR CS,30.10,120.40,5.016666667,8.09,8.59
100,04SW39,ROY.SWED.RED LUMP.CAV.,4X10/3.5 PC,3.95,395.00,0.09875,0.49,0.99
4,04CA20,HERR.SALAD WHITE SC.,6/400GR CS,25.00,100.00,4.166666667,6.79,7.29
4,04CA22,HERRING SALAD W/BEETS,6/400GR CS,24.00,96.00,4,6.59,7.09
4,04CA24,HERR.SAL.MUSTARD/DILL,6/400GR CS,24.00,96.00,4,6.59,7.09
10,04GE01,Norden Bismarck Herring 7 91434 04001 3,12/18OZ CS,53.30,533.00,4.441666667,7.19,7.69
10,04GE02,Norden Rollmops Herring 7 91434 04002 0,12/18OZ CS,53.30,533.00,4.441666667,7.19,7.69
2,04SW15,NORD.SW.STYL.HERR.CREAM 7 91434 04015 0,12/12 CT,35.40,70.80,2.95,4.89,5.39
3,04SW16,NORD.SW.STYLE HERR.WINE 7 91434 04016 7,12/12 CT,35.40,106.20,2.95,4.89,5.39
150.83,01GE10,BAUER German Tilsit Loaf,"3/5 lbs, LB",8.20,1236.81,2.733333333,4.59,5.09
51.5,01DE19,DANISH TILSIT HAVARTI 2-814427-045753,2/10LBS LB,11.90,612.85,5.95,9.59,10.09
18.67,01GE08,BAVARIA EMMENTALER 0-21282-00188-5,2/9LBS LB,7.10,132.56,3.55,5.89,6.39
1,02GE25A,SPONGE CAKE REGULAR 0-79344-00128-8,12/6.8OZ CS,34.00,34.00,2.833333333,4.79,5.29
5,02GE40,SCHLUND.MARZIPAN CAKE 0-79344-00722-8,6/14OZ CS,21.50,107.50,3.583333333,5.89,6.39
4,12GE11A,SUG.BEET SYRUP SQ.BTL,12/500G DZ,64.60,258.40,5.383333333,8.69,9.19
2,02GE42,SCHLUNDER CHOCOLATE CAKE 0-79344-00720-4,6/14 CS,23.25,46.50,3.875,6.39,6.89
2,03LA01,Latvian Smoked Sprats,24/8.46OZ - CS,56.20,112.40,2.341666667,3.99,4.49
2,05GE81,KUECHLE BAKING WAFERS The 70 mm is with 63 x 102,10/70MM CT,26.25,52.50,2.625,4.39,4.89
1,06SZ23,MAG.CHICK.CUBES #5501 0-28000-24795-9,24/2.43 CT,21.50,21.50,0.895833333,1.69,2.19
4,02GE05,WETZEL OBLATEN,12/3.5OZ CT,56.00,224.00,4.666666667,7.59,8.09
